run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
3,0.014,15,70,0.8,0.9964,0.9125,0.9123,0.9365,0.9389,0.9352
1,0.014,15,70,0.85,0.9956,0.9202,0.9209,0.9381,0.9399,0.9374
2,0.014,15,70,0.85,0.9974,0.8897,0.8869,0.9166,0.922,0.917
3,0.014,15,70,0.85,0.9964,0.9144,0.9148,0.9375,0.9395,0.9363
1,0.014,15,80,0.75,0.9968,0.9113,0.9114,0.9302,0.9319,0.9295
2,0.014,15,80,0.75,0.9975,0.8911,0.8864,0.9164,0.9219,0.917
3,0.014,15,80,0.75,0.9968,0.912,0.9111,0.9366,0.9392,0.9352
1,0.014,15,80,0.8,0.9959,0.912,0.9123,0.9312,0.933,0.9306
2,0.014,15,80,0.8,0.9974,0.8895,0.886,0.9153,0.9203,0.9158
3,0.014,15,80,0.8,0.9968,0.9094,0.9089,0.9343,0.9371,0.9329
1,0.014,15,80,0.85,0.9959,0.9117,0.9123,0.9314,0.9335,0.9306
2,0.014,15,80,0.85,0.9974,0.888,0.8846,0.9143,0.919,0.9147
3,0.014,15,80,0.85,0.9964,0.9094,0.9089,0.9343,0.9371,0.9329
1,0.014,15,90,0.75,0.9963,0.9181,0.9176,0.9357,0.9371,0.9352
2,0.014,15,90,0.75,0.9979,0.8908,0.8864,0.9164,0.922,0.917
3,0.014,15,90,0.75,0.9964,0.9075,0.9051,0.932,0.9347,0.9306
1,0.014,15,90,0.8,0.9963,0.9205,0.9205,0.9379,0.9392,0.9374
2,0.014,15,90,0.8,0.9974,0.8932,0.8893,0.9174,0.9224,0.9181
3,0.014,15,90,0.8,0.9964,0.907,0.9051,0.9323,0.9353,0.9306
1,0.014,15,90,0.85,0.9963,0.9191,0.9194,0.9368,0.9382,0.9363
2,0.014,15,90,0.85,0.9974,0.8932,0.8893,0.9174,0.9224,0.9181
3,0.014,15,90,0.85,0.9964,0.907,0.9051,0.9323,0.9353,0.9306
1,0.014,15,100,0.75,0.9963,0.915,0.9135,0.9334,0.9348,0.9329
2,0.014,15,100,0.75,0.9979,0.8951,0.8919,0.9196,0.925,0.9204
3,0.014,15,100,0.75,0.9968,0.9115,0.9114,0.9348,0.9385,0.9329
1,0.014,15,100,0.8,0.9963,0.9193,0.9174,0.9369,0.9387,0.9363
2,0.014,15,100,0.8,0.9978,0.8943,0.8908,0.9187,0.9233,0.9192
3,0.014,15,100,0.8,0.9964,0.9121,0.9112,0.936,0.9398,0.934
1,0.014,15,100,0.85,0.9959,0.9193,0.9174,0.9369,0.9387,0.9363
2,0.014,15,100,0.85,0.9978,0.8929,0.8894,0.9177,0.922,0.9181
3,0.014,15,100,0.85,0.9964,0.9103,0.9099,0.9349,0.9386,0.9329
1,0.016,30,40,0.75,0.9937,0.9038,0.9022,0.9287,0.9301,0.9283
2,0.016,30,40,0.75,0.9952,0.8881,0.8868,0.9175,0.9235,0.9181
3,0.016,30,40,0.75,0.9941,0.8983,0.8995,0.927,0.9284,0.9261
1,0.016,30,40,0.8,0.9936,0.903,0.9022,0.9286,0.9299,0.9283
